Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,.SPX,.VIX,EUR=,XAU=,GDX,GLD
2010-01-01,,,,,,,,,1.43,1096.35,,
2010-01-04,30.57,30.95,20.88,133.9,173.08,113.33,1132.99,20.04,1.44,1120.0,47.71,109.8
2010-01-05,30.63,30.96,20.87,134.69,176.14,113.63,1136.52,19.35,1.44,1118.65,48.17,109.7
2010-01-06,30.14,30.77,20.8,132.25,174.26,113.71,1137.14,19.16,1.44,1138.5,49.34,111.51
2010-01-07,30.08,30.45,20.6,130.0,177.67,114.19,1141.69,19.06,1.43,1131.9,49.1,110.82
2010-01-08,30.28,30.66,20.83,133.52,174.31,114.57,1144.98,18.13,1.44,1136.1,49.84,111.37
2010-01-11,30.02,30.27,20.95,130.31,171.56,114.73,1146.98,17.55,1.45,1152.6,50.17,112.85
2010-01-12,29.67,30.07,20.61,127.35,167.82,113.66,1136.22,18.25,1.45,1127.3,48.35,110.49
2010-01-13,30.09,30.35,20.96,129.11,169.07,114.62,1145.68,17.85,1.45,1138.4,48.86,111.54
2010-01-14,29.92,30.96,21.48,127.35,168.53,114.93,1148.46,17.63,1.45,1142.85,48.6,112.03
2010-01-15,29.42,30.86,20.8,127.14,165.21,113.64,1136.03,17.91,1.44,1129.9,47.42,110.86
2010-01-18,,,,,,,,,1.44,1132.5,,
2010-01-19,30.72,31.1,21.05,127.61,166.86,115.06,1150.23,17.58,1.43,1137.7,47.69,111.52
2010-01-20,30.25,30.58,21.08,125.78,167.79,113.89,1138.04,18.68,1.41,1111.3,45.73,108.94
2010-01-21,29.72,30.01,20.84,126.62,160.87,111.7,1116.48,22.27,1.41,1094.75,43.75,107.37
2010-01-22,28.25,28.96,19.91,121.43,154.12,109.21,1091.76,27.31,1.41,1092.6,43.79,107.17
2010-01-25,29.01,29.32,20.32,120.31,154.98,109.77,1096.78,25.41,1.42,1097.85,43.19,107.48
2010-01-26,29.42,29.5,20.0,119.48,150.88,109.31,1092.17,24.55,1.41,1097.65,43.13,107.56
2010-01-27,29.7,29.67,20.24,122.75,151.5,109.83,1097.5,23.14,1.4,1086.35,42.77,106.53
2010-01-28,28.47,29.16,19.92,126.03,153.29,108.57,1084.53,23.73,1.4,1085.9,42.17,106.48
2010-01-29,27.44,28.18,19.4,125.41,148.72,107.39,1073.87,24.62,1.39,1081.05,40.72,105.96
2010-02-01,27.82,28.41,19.61,118.87,153.13,109.06,1089.19,22.59,1.39,1106.95,42.94,108.35
2010-02-02,27.98,28.46,19.91,118.12,156.94,110.38,1103.32,21.48,1.4,1114.8,43.0,109.13
2010-02-03,28.46,28.63,19.68,119.1,157.23,109.83,1097.28,21.6,1.39,1109.25,42.57,108.7
2010-02-04,27.44,27.84,19.02,115.94,150.68,106.44,1063.11,26.08,1.37,1063.05,40.24,104.37
2010-02-05,27.92,28.02,19.47,117.39,154.16,106.66,1066.19,26.11,1.37,1064.95,42.41,104.68
