,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT
0,.GDAXI,2018-04-27,,,,12500.47,
1,GDAX105000G8.EX,2018-04-27,2018-07-20,CALL,10500.0,2040.8,23.59
2,GDAX105000S8.EX,2018-04-27,2018-07-20,PUT ,10500.0,32.0,23.59
3,GDAX108000G8.EX,2018-04-27,2018-07-20,CALL,10800.0,1752.4,22.02
4,GDAX108000S8.EX,2018-04-26,2018-07-20,PUT ,10800.0,43.8,22.02
5,GDAX110000G8.EX,2018-04-27,2018-07-20,CALL,11000.0,1562.8,21.0
6,GDAX110000S8.EX,2018-04-27,2018-07-20,PUT ,11000.0,54.5,21.0
7,GDAX111500G8.EX,2018-04-27,2018-07-20,CALL,11150.0,1422.5,20.24
8,GDAX111500S8.EX,2018-04-27,2018-07-20,PUT ,11150.0,64.3,20.25
9,GDAX112000G8.EX,2018-04-27,2018-07-20,CALL,11200.0,1376.1,19.99
10,GDAX112000S8.EX,2018-04-26,2018-07-20,PUT ,11200.0,67.9,20.0
11,GDAX112500G8.EX,2018-04-27,2018-07-20,CALL,11250.0,1330.2,19.75
12,GDAX112500S8.EX,2018-04-27,2018-07-20,PUT ,11250.0,72.0,19.76
13,GDAX113000G8.EX,2018-04-27,2018-07-20,CALL,11300.0,1284.2,19.51
14,GDAX113000S8.EX,2018-04-27,2018-07-20,PUT ,11300.0,76.2,19.51
15,GDAX113500G8.EX,2018-04-27,2018-07-20,CALL,11350.0,1238.8,19.27
16,GDAX113500S8.EX,2018-04-26,2018-07-20,PUT ,11350.0,80.7,19.27
17,GDAX114000G8.EX,2018-04-25,2018-07-20,CALL,11400.0,1193.4,19.03
18,GDAX114000S8.EX,2018-04-27,2018-07-20,PUT ,11400.0,85.5,19.05
19,GDAX114500G8.EX,2018-04-27,2018-07-20,CALL,11450.0,1148.5,18.8
20,GDAX114500S8.EX,2018-04-27,2018-07-20,PUT ,11450.0,90.5,18.8
21,GDAX115000G8.EX,2018-04-27,2018-07-20,CALL,11500.0,1103.8,18.56
22,GDAX115000S8.EX,2018-04-27,2018-07-20,PUT ,11500.0,96.0,18.57
23,GDAX115500G8.EX,2018-04-27,2018-07-20,CALL,11550.0,1059.6,18.33
